 logU   Z        xi    lnh   al     NV_1240               CIV_1550              HeII_1640             CIII_1908             MgII_2796              MgII_2803             OII_3727               NeV_3426              NIII__3869            Hbeta                 OIII_4959             OIII_5007             OI_6300                 OI_6363                 NII_6548              Halpha                NII_6584              SII_6717                SII_6731               SIII_6312             SIII_9069             SIII_9532             PB                     PG                    P7                    P8                    P9                   
  -1.5   1.0E-4   0.1   2.0   -1.2   -4.330599430488512    -2.5088344834589904   -2.236474675477801    -3.0952357818531553   -0.5706353675823053    -0.714690286909736    -1.5320812667189898    -4.08998424710348     -3.736600668666       0.5787652402099752    -3.1608300275656234   -2.682270866271047    -0.09814951941830685    -0.5944316820711535     -3.496005151234179    1.2923003848590824    -3.026036702593906    -0.2025247124626688     -0.35784226528577534   -5.4333150834789805   -4.598168825091051    -4.2037240865896095   -0.34747324753907094   -0.5824618805986717   -0.8797552044536374   -1.121926517419432    -1.323626514790547   
  -1.5   1.0E-4   0.1   2.0   -1.4   -4.376812756102943    -2.50538629880306     -2.3820356307764854   -3.0946089304259914   -0.5926600920044933    -0.7367190857033776   -1.5443786759688791    -4.204481466062823    -3.781123284947242    0.56291114504765      -3.185472734087149    -2.7069027443083513   -0.12168506065031437    -0.6179649372810729     -3.509170993696195    1.2760479932968636    -3.0392058814740253   -0.2265646419270979     -0.3818368043412903    -5.4741262875808445   -4.731585855423461    -4.337128888880692    -0.3631712210106528    -0.598151608604482    -0.8953763395646774   -1.1375048724641061   -1.3391914201967836  
  -1.5   1.0E-4   0.1   2.0   -1.7   -4.4822104881164435   -2.5830268273969637   -2.6584863401297483   -3.1710759987145423   -0.6593576224392947    -0.8028849189127314   -1.5810361692963752    -4.4296672534666754   -3.8878308519983378   0.5153041207103257    -3.283354042123669    -2.8047924504972457   -0.19219446772937232    -0.6884368466800836     -3.5478914159958848   1.2271923065140342    -3.0779132219316736   -0.29862200636872416    -0.45376589389321964   -5.558603397145632    -4.908966483945527    -4.514505714989028    -0.41032959796510937   -0.6452770655510633   -0.94221982320542     -1.1842695449928584   -1.3858729688512383  
  -1.5   1.0E-4   0.1   2.0   -2.0   -4.601695337096508    -2.714960552633478    -2.9711848301531134   -3.296760224291276    -0.7443657335414144    -0.888132853195529    -1.6285996139690155    -4.692119044011747    -4.023370364874239    0.453226577998187     -3.4197252427316585   -2.9411565853312354   -0.2840801825664201     -0.7803630891910345     -3.598048324015174    1.1634893581926988    -3.1280769681176253   -0.39259859669797237    -0.5475695063003982    -5.662141570958909    -5.053778699566088    -4.659337801144389    -0.4718034376045921    -0.7067037548515387   -1.0033044920800833   -1.2452389748317216   -1.4467361021302025  
  -1.5   1.0E-4   0.1   3.0   -1.2   -4.32345270368635     -2.5039148656022974   -2.234368693363301    -3.1129287236598273   -3.3454192035719004    -3.434199389814154    -4.260736280389459     -4.079511435341701    -3.7684029944350925   -2.368251925603431    -3.1672803778602585   -2.6887124613377154   -3.8024162309642264     -4.29874295329212       -5.798193357042976    -1.8780464164547013   -5.3282164262315135   -3.9765417623563266     -4.117743065321299     -5.492373474757855    -4.664823027229971    -4.270373612690314    -3.2512384627000444    -3.4931163088710946   -3.715343717211482    -3.899284913426918    -4.055902441386607   
  -1.5   1.0E-4   0.1   3.0   -1.4   -4.3736185665304745   -2.5029597177440692   -2.379853530415339    -3.1138139518309416   -3.327394222246575     -3.392351999896171    -4.383608517356684     -4.187213609532428    -3.80316085416689     -2.4598457802412383   -3.191890351759966    -2.713319030645067    -4.063019039175515      -4.559342755855383      -5.982674445438278    -1.9773242380462719   -5.51270604199356     -4.222812504274387      -4.362200170879952     -5.5178842353249      -4.786668219293411    -4.392201966020615    -3.33986528219841      -3.582046946890557    -3.7995872988027557   -3.979431565198638    -4.13208489512467    
  -1.5   1.0E-4   0.1   3.0   -1.7   -4.510322708336304    -2.588733933487859    -2.656808115098592    -3.1930809973772085   -3.2976125504617855    -3.345602034021752    -4.561552589345624     -4.3986136873549455   -3.9055638119820415   -2.619517409025022    -3.292685366411291    -2.8141180215900192   -4.509563918806791      -5.005894105747224      -6.283379061248709    -2.143669949666375    -5.81341090872759     -4.646641654473406      -4.780205973308021     -5.586582874890631    -4.942447998945468    -4.547998772273409    -3.4934408532742154    -3.7359617740068813   -3.9473060580750357   -4.121690808061189    -4.269056306572267   
  -1.5   1.0E-4   0.1   3.0   -2.0   -4.746443932779883    -2.7383565466881095   -2.969643194689155    -3.320835667447305    -3.2746520099815726    -3.3178097810158818   -4.7215665234625845    -4.664341547710698    -4.046109894579175    -2.786004383631912    -3.435973422734527    -2.9574244875598126   -4.9664154244845875     -5.462760350618957      -6.584509147828534    -2.3125869850266128   -6.114548311374911    -5.076574631328413      -5.198912005756895     -5.67639730474351     -5.065294550725788    -4.6708462892071765   -3.653392783393869     -3.8959569700779895   -4.102620362126217    -4.27275976292168     -4.415962928782264   
  -1.5   1.0E-4   0.1   4.0   -1.2   -4.589847250177932    -2.5674154945747816   -2.2353830694498384   -3.046506086978283    -3.3921591087173866    -3.471520383866178    -4.402381590087046     -4.054260680717512    -3.8416676682910165   -2.366117646973713    -3.2359135762508586   -2.7573592021823856   -3.857767008205286      -4.354096539641617      -5.512564651680449    -1.8791300598208096   -5.042589075668651    -4.1106814864197645     -4.160723119664034     -5.4553863283378305   -4.612699177551718    -4.218251803828046    -3.2407553264704276    -3.4836100763118623   -3.7067037548515387   -3.8918749052614032   -4.049221497039937   
  -1.5   1.0E-4   0.1   4.0   -1.4   -4.80285733502744     -2.6306727993045627   -2.3787406076167485   -3.0568469203165023   -3.355079128992422     -3.415103655862552    -4.52525940152011      -4.224520624590234    -3.8832262730241      -2.455497878170405    -3.2671078918060488   -2.7885323755608553   -4.116486193288317      -4.612806006303131      -5.701037818079882    -1.974366488939303    -5.231066057813216    -4.359488749786415      -4.407712184047867     -5.443504522343552    -4.705005006140901    -4.3105579421383595   -3.3264538313311434    -3.569586288107402    -3.78821223709911     -3.969481235156458    -4.122830296515922   
  -1.5   1.0E-4   0.1   4.0   -1.7   -5.327809748811745    -2.858581584733912    -2.6527090241438955   -3.176610551300506    -3.309343280409294     -3.3582384380714885   -4.65949639683955      -4.649538764402358    -4.006453556462361    -2.6137686494204715   -3.3907258275954106   -2.912147624836834    -4.523864263449006      -5.020192218659474      -6.01359555654367     -2.137093786436999    -5.543633966870956    -4.7474382137936715     -4.791719921454693     -5.466711041993314    -4.804128010540673    -4.409682130233875    -3.4768390550113963    -3.7203786775159458   -3.933003579550302    -4.108914354324774    -4.256835299344111   
  -1.5   1.0E-4   0.1   4.0   -2.0   -6.036589984319768    -3.1803573723813727   -2.9628524963674465   -3.383860708691273    -3.287005356446727     -3.335527263056875    -4.735229385478135     -5.282762343145791    -4.1761346906754895   -2.782358159226675    -3.566918544224741    -3.0883577440145658   -4.935205188804616      -5.431516662728342      -6.320299619128036    -2.3077789860613436   -5.85031911751706     -5.143095977479014      -5.172385213166564     -5.5483824043336725   -4.89357110520659     -4.499105170603762    -3.6360309550211625    -3.8797222796606334   -4.087597246518385    -4.259187456563126    -4.402776652687848   
