logU Z xi lnh al NV_1240 CIV_1550 HeII_1640 CIII_1908 MgII_2796 MgII_2803 OII_3727 NeV_3426 NIII__3869 Hbeta OIII_4959 OIII_5007 OI_6300 OI_6363 NII_6548 Halpha NII_6584 SII_6717 SII_6731 SIII_6312 SIII_9069 SIII_9532 PB PG P7 P8 P9
-1.5 0.008 0.3 3.0 -1.4 -2.964490214910441 -2.02939281110438 -2.516327136193688 -2.580986519564192 -3.459945957735925 -3.5973947580800854 -3.0472414497095244 -2.8921119748172046 -2.9990022696422045 -3.052115551673836 -2.4701719811507417 -1.9916127698858404 -2.889848171481731 -3.386179312189576 -4.192708569852037 -2.584258963777657 -3.722734690543156 -3.012606371695981 -3.14349465665196 -4.590489547730684 -3.5572381095688783 -3.162790472198793 -3.9024650527827234 -4.147489509225956 -4.360583242507587 -4.54177020177643 -4.699600188328667
-1.5 0.008 0.3 3.0 -1.7 -3.1262377703183404 -2.2361977759254046 -2.743258207374744 -2.7969399024040413 -3.4847886956722007 -3.595183381924599 -3.326021198308233 -3.093471023817869 -3.098133187134451 -3.194954744277247 -2.5200218192192168 -2.041450450165776 -3.2794603385138785 -3.7757778139153535 -4.58967838226932 -2.740740690147639 -4.119701008574246 -3.348169775046692 -3.474721903373428 -4.742633461414982 -3.79320109961845 -3.3987550751894773 -4.03127895523447 -4.277481246575391 -4.485040725891274 -4.661822500703465 -4.815677734422842
-1.5 0.014 0.3 3.0 -1.4 -2.823301153881431 -2.132956996355574 -2.5844090569126905 -2.665707128451537 -3.633932095187518 -3.802912504550108 -2.943743264149859 -2.8324463788031764 -3.0510005459730465 -3.201321737341793 -2.5268927473665386 -2.0483225626567005 -3.0610651916577183 -3.557394821035196 -3.89863103675075 -2.736813842586294 -3.428663913183108 -3.2630699223257054 -3.374276090474247 -4.582030357785264 -3.521606679585659 -3.1271505754156905 -4.047013934802948 -4.293615105225733 -4.506123889147176 -4.687378417413022 -4.845667338757693
-1.5 0.014 0.3 3.0 -1.7 -3.026318081496015 -2.359468875427908 -2.7892000896032485 -2.927456014356352 -3.627935329281868 -3.7546600973046793 -3.26911279596451 -3.0310689786883387 -3.165407647213037 -3.337553839211637 -2.57285483875701 -2.094285051610236 -3.480920529623475 -3.977241805763228 -4.32292255229455 -2.886859163132918 -3.8529423289716433 -3.547355032320006 -3.6549008538671046 -4.772807693485966 -3.7584286179108304 -3.3639636836465527 -4.16869985109151 -4.416393203626804 -4.624080456295353 -4.801617869991709 -4.956598421089119
-1.5 0.017 0.3 3.0 -1.4 -2.773786879275896 -2.174346732275694 -2.6120054304589644 -2.7040152985905266 -3.6818949079599577 -3.8596805483298695 -2.913497801029628 -2.8182707151173148 -3.0698255485136485 -3.256004473501349 -2.550059011226665 -2.0715017318763103 -3.103027592340055 -3.599341150235027 -3.7969671129852927 -2.792554146015746 -3.326997534641926 -3.367826255964445 -3.4668382630393992 -4.580391165091896 -3.5164554927726925 -3.122007032850327 -4.099725749276651 -4.346999859889159 -4.559295525120142 -4.740525580468926 -4.89890623326334
-1.5 0.017 0.3 3.0 -1.7 -2.9952918034556646 -2.409113601626764 -2.807990407346331 -2.986614982250316 -3.6790025832057793 -3.809416204022824 -3.26026947143528 -3.018063664715328 -3.196092435081944 -3.3878945960359417 -2.5988408009762125 -2.120279232121092 -3.5637419141099613 -4.060071605136351 -4.231132604456128 -2.937756558973525 -3.761176377738927 -3.663720425649672 -3.756788268255242 -4.79053860537001 -3.755203521252376 -3.360742671480594 -4.216911487244708 -4.465263350049639 -4.673131840106322 -4.850965732838752 -5.006330151053589
-1.5 0.02 0.3 3.0 -1.4 -2.7320777084688856 -2.2103769884850024 -2.6360309550211625 -2.740358346571142 -3.718353142132486 -3.902222265460715 -2.8922813894797343 -2.8082416786295497 -3.0854928893139477 -3.303075991594575 -2.5697313942040907 -2.0911612556343258 -3.1276106115821776 -3.6239342784138273 -3.7123102160639263 -2.840613299038246 -3.242338312844751 -3.4532599747907256 -3.5397187218220907 -4.5803085414815214 -3.512663620066114 -3.118210342796651 -4.144953555750305 -4.392813142574589 -4.60490086268743 -4.786083990355976 -4.944468774949101
-1.5 0.02 0.3 3.0 -1.7 -2.9709004331764604 -2.452828558436501 -2.8243142717379186 -3.042823869595153 -3.719672081252327 -3.852230953739856 -3.258761708543723 -3.010483441383677 -3.2239892973215234 -3.430111329341884 -2.6229670906896345 -2.144396053129583 -3.6153240766404338 -4.111651989821951 -4.155075712531328 -2.980260767325298 -3.6851009757266056 -3.7586527827618 -3.8368386250229847 -4.808353401437266 -3.754117352482737 -3.3596676599522226 -4.2571413809628496 -4.506096032793494 -4.714172747246728 -4.892247501259838 -5.047905312331977
-1.5 0.03 0.3 3.0 -1.4 -2.628728898512413 -2.3023783996656064 -2.6972795501038647 -2.85145903913277 -3.811662220959249 -4.006797513688355 -2.86710023005552 -2.790190194214624 -3.128993651150012 -3.424292698523317 -2.6186141339866253 -2.140051535543975 -3.178231079360934 -3.6745459139437457 -3.512465705842878 -2.964730399900567 -3.0424980672678714 -3.60249450310198 -3.659754238432072 -4.597154218344272 -3.5076028385984657 -3.1131484527218944 -4.260791697814199 -4.510266456217593 -4.721886884020165 -4.90291630393348 -5.061260181326318
-1.5 0.03 0.3 3.0 -1.7 -2.915566723213452 -2.564569748417036 -2.8664930262216477 -3.21188114408163 -3.8266971581118128 -3.9585678353197338 -3.2930689623278013 -3.0051507556653405 -3.304203224109699 -3.535004021381134 -2.6912008960888727 -2.2126387231513505 -3.710678662428528 -4.207006319440325 -3.9764183423350583 -3.085033091889507 -3.5064583048325204 -3.9468062723991295 -3.9858996784803793 -4.873219422987994 -3.754314635766761 -3.3598565895646217 -4.3562414510485326 -4.606916397910545 -4.815677734422842 -4.9944334288667065 -5.150721893108354
-1.5 0.04 0.3 3.0 -1.4 -2.556205229697291 -2.366359880533309 -2.738118850616331 -2.949736277354205 -3.889612334124912 -4.088783778782236 -2.884489337615001 -2.781674603390329 -3.167989534540084 -3.5125646516804494 -2.652065321364738 -2.1735040710762874 -3.23096256107678 -3.727276765386158 -3.3856301604517114 -3.0549501544402133 -2.915674004983174 -3.660807025900347 -3.703049760463358 -4.632662718622129 -3.51334286866112 -3.1188950710044523 -4.34465023434457 -4.595371510358078 -4.806764058360244 -4.987711260165391 -5.14603423819991
-1.5 0.04 0.3 3.0 -1.7 -2.8824304365361755 -2.6408287942833013 -2.895103370051032 -3.355285755504241 -3.9132132043733776 -4.037957573807006 -3.366693172439362 -3.012248850415517 -3.371713268910483 -3.608747232649442 -2.7445345180075336 -2.2659766756869004 -3.794849790859821 -4.291171343495229 -3.870471226141227 -3.157752823338214 -3.400520856812569 -4.025783156500054 -4.045733363759638 -4.946153573147747 -3.7612264982793056 -3.36677400901138 -4.424997000566471 -4.677078130416909 -4.886558046034679 -5.065834972479649 -5.222500680409638
-2.5 0.008 0.3 3.0 -1.4 -3.2951719632196657 -2.188424994129406 -2.426501793848068 -2.2831956211269144 -3.049654621149429 -3.237006518211082 -2.3714373868912237 -3.0590106306884266 -2.6568475283377424 -2.702611588119374 -2.111382499739989 -1.632811864614375 -3.056065476897139 -3.552392396432687 -3.783042792638902 -2.23952474094029 -3.3130689394949613 -3.24534593074457 -3.2748645868247266 -3.993362840931411 -3.0495377810944007 -2.65507746414616 -3.5211450324713383 -3.771471322642818 -3.97951441420345 -4.154808906852104 -4.305482546188841
-2.5 0.008 0.3 3.0 -1.7 -3.418198202045957 -2.468521082957743 -2.684260500391659 -2.578396073130172 -3.098378235906644 -3.2490136043924736 -2.5564553993366417 -3.3836190224056537 -2.845910930985582 -2.8360042453582537 -2.28395489928792 -1.805402414757488 -3.519403851818275 -4.015733791866161 -4.008720748646937 -2.3767713907841284 -3.5387566624192246 -3.532169994821025 -3.521707730338939 -4.18312264280258 -3.2266451393332574 -2.83218071012287 -3.6470268209940713 -3.8972576638554273 -4.103170763925895 -4.276052023568354 -4.42396979440867
-2.5 0.014 0.3 3.0 -1.4 -3.1722495940197533 -2.298717033258576 -2.447161505711975 -2.4293520015806607 -3.0862020367294463 -3.278453173107401 -2.3175119574138634 -3.0024781927657216 -2.648803000057306 -2.7804416684527737 -2.094630530937387 -1.6160590298137905 -3.0416989707463244 -3.538021523471322 -3.484417549101771 -2.3188945008602104 -3.0144522817154358 -3.234405944680553 -3.24082337459663 -3.996324097451215 -2.972487307551191 -2.5780343117748856 -3.5888013260444467 -3.841818501648525 -4.050341692018257 -4.226491475412125 -4.378231901896406
-2.5 0.014 0.3 3.0 -1.7 -3.3066248489748133 -2.6038878693885223 -2.7008196892546508 -2.7771795186778334 -3.1425830656284504 -3.294615301610591 -2.5293543421132725 -3.3474055891319168 -2.8697627521147737 -2.9119702821572844 -2.293598027860241 -1.81502480930174 -3.532865659494405 -4.029188389127484 -3.7238600146498575 -2.452508354913334 -3.253887579079468 -3.5098728952646 -3.476930207175002 -4.2242294058561285 -3.1645313875072816 -2.770087891669853 -3.712601410765743 -3.9654517529015294 -4.172482109921091 -4.346652393399189 -4.495991543598954
-2.5 0.017 0.3 3.0 -1.4 -3.1348308564518987 -2.3525583454069547 -2.4568387158051976 -2.503222519960985 -3.115414189804433 -3.3066952427640786 -2.319229503343763 -2.992550955502253 -2.662580675670327 -2.8123946845818537 -2.103931465748879 -1.625361615879811 -3.051425670982951 -3.547753425479563 -3.389031256858786 -2.350694354903702 -2.919048995620514 -3.2387338750257086 -3.2375690321900734 -4.01503186528177 -2.957109610270756 -2.562645872151826 -3.617010938035541 -3.87108402154616 -4.080028076779556 -4.256623522982686 -4.408846316061712
-2.5 0.017 0.3 3.0 -1.7 -3.2773825283263136 -2.66346021924646 -2.708608946921593 -2.871406893081293 -3.1728117206899498 -3.3221103004971653 -2.5424814282860027 -3.3464209034197907 -2.895376339564677 -2.94408677608385 -2.312497792862928 -1.833925282642923 -3.556674416046256 -4.0530027525515 -3.6346805241037856 -2.483993769613953 -3.164702690563658 -3.5134986795367453 -3.473079467361352 -4.257479105798737 -3.155094332999184 -2.7606504609938654 -3.740884155814932 -3.994776575141863 -4.202351666087544 -4.377092075106184 -4.527009650323343
